NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;Si;;;225.0944;86.3570;61;10621.9120;6852;651;1.3847;31;0;11;41;20;45;20;4241;453;66;112
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;--;;;0.0000;0.0000;156;0.0000;8765;40;0.9992;35;4;3;99;57;83;4;8672;35;853;1099
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;Si;;;227.9258;89.1883;63;10555.3746;6793;663;1.4602;34;0;9;41;22;46;22;4198;459;66;112
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;No;93.2623;0.92026;101.3433;45.9653;3560;1620.2155;92126;33359;3.5992;345;76;71;1731;1829;1861;1827;73836;28630;65624;99484
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;No;95.5126;0.918477;103.9902;47.4631;3676;1639.2344;92640;34318;3.6647;358;84;72;1791;1885;1920;1880;74237;29454;66238;109395
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;--;;;0.0000;0.0000;162;0.0000;9191;44;0.9964;34;5;3;102;60;87;4;9095;38;882;1132
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;Si;;;236.4200;84.9413;60;10568.1158;6836;629;1.3836;31;0;7;39;21;44;21;4257;441;66;111
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;Si;;;246.3298;109.0080;77;11127.3128;7034;826;1.6400;34;0;7;54;23;58;23;4374;565;70;116
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;No;96.8802;0.892722;108.5222;48.4444;3752;1646.2583;91672;35830;3.6889;394;89;74;1730;2022;1815;2026;73317;30805;64165;119411
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;--;;;0.0000;0.0000;164;0.0000;9131;45;1.0041;30;5;3;101;63;86;5;9025;38;889;1258
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;--;;;0.0000;0.0000;174;0.0000;9253;44;1.1218;28;5;3;111;63;97;6;9145;37;906;1325
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;Si;;;267.5651;113.2550;80;12337.7266;7873;842;1.5326;34;0;9;50;30;54;30;4922;559;86;132
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;No;98.2096;0.86044;114.1387;49.6322;3844;1676.8976;92461;37414;3.6870;424;90;71;1746;2098;1806;2106;73948;32154;63906;133052
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;No;99.0752;0.828833;119.5358;50.8847;3941;1699.0281;93215;38374;3.7113;433;103;75;1781;2160;1843;2145;74345;33112;62679;148615
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;--;;;0.0000;0.0000;165;0.0000;9149;43;1.1231;30;5;2;108;57;97;5;9044;38;887;1404
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;Si;;;267.5651;128.8276;91;13198.4653;8482;841;1.5747;33;0;11;68;23;70;23;5354;552;78;137
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;--;;;0.0000;0.0000;177;0.0000;9055;38;1.2364;27;6;2;116;61;108;3;8944;34;883;1388
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;Si;;;287.3847;141.5688;100;13613.2621;8634;982;1.8793;38;1;14;73;27;87;27;5452;614;81;128
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;No;101.028;0.804421;125.5914;52.1758;4041;1726.5815;92594;41129;3.7739;450;103;74;1775;2266;1882;2248;73836;35599;60351;169303
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;No;106.088;0.790201;134.2551;54.5387;4224;1767.9762;93015;43914;3.8559;452;106;66;1778;2446;1895;2423;73996;37987;60476;165355
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;--;;;0.0000;0.0000;189;0.0000;9115;39;1.3161;31;5;1;121;68;115;4;9007;35;858;1295
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;Si;;;290.2161;138.7374;98;13382.5049;8374;1079;1.8571;39;1;17;70;28;83;28;5322;655;81;116
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;No;107.407;0.781898;137.3668;55.3779;4289;1790.5457;93164;45513;3.8816;455;109;64;1814;2475;1941;2468;74121;39466;60530;168609
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;--;;;0.0000;0.0000;191;0.0000;9105;39;1.3389;32;5;0;123;68;117;4;9003;34;860;1203
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;Si;;;293.0475;138.7374;98;13500.0070;8381;1155;1.8396;37;1;18;71;27;84;27;5321;713;81;118
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;--;;;0.0000;0.0000;197;0.0000;9023;42;1.3504;33;5;0;121;76;115;6;8922;38;850;1156
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;Si;;;342.5966;151.4786;107;13778.8977;8501;1232;1.8648;41;1;20;80;27;88;27;5409;758;82;121
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;No;110.001;0.775704;141.8084;56.5271;4378;1801.3269;92235;47277;3.9397;483;101;67;1831;2547;1969;2540;73336;41113;59968;168566
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;No;116.758;0.772562;151.1306;60.0778;4653;1822.9281;91501;49684;4.1575;496;96;65;1953;2700;2117;2704;72643;43316;60547;179519
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;--;;;0.0000;0.0000;223;0.0000;8953;41;1.5186;31;4;0;137;86;130;5;8852;38;901;1082
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;Si;;;352.5064;137.3218;97;14284.2985;8882;1208;1.6325;37;1;19;70;27;78;27;5689;743;79;130
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;--;;;0.0000;0.0000;240;0.0000;9220;46;1.5840;37;3;0;148;92;138;7;9110;44;953;1047
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;Si;;;376.5731;154.3100;109;14308.3653;8767;1340;1.8250;37;1;19;86;23;94;23;5573;838;72;129
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;No;124.444;0.773776;160.8272;64.5064;4996;1818.5769;89164;51684;4.4682;507;103;69;2078;2918;2261;2913;70688;45109;58931;189624
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;No;132.223;0.778579;169.8266;68.6511;5317;1832.1082;88164;53732;4.7646;535;102;82;2175;3142;2394;3170;69833;46944;60712;198103
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;--;;;0.0000;0.0000;261;0.0000;9400;45;1.5977;34;3;0;156;105;141;8;9284;42;1020;959
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;Si;;;368.0790;138.7374;98;14990.7272;9164;1425;1.5866;42;2;17;74;24;81;24;5725;893;82;141
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;Si;;;369.4947;145.8159;103;15271.0335;9401;1386;1.5273;36;1;16;81;22;81;22;5840;904;84;163
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;No;140.913;0.788387;178.7356;73.4155;5686;1822.8506;87192;53987;5.1305;558;113;82;2315;3371;2570;3390;68946;47223;60847;201728
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;--;;;0.0000;0.0000;273;0.0000;9600;50;1.5846;40;4;0;158;115;141;10;9483;46;1067;946
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;--;;;0.0000;0.0000;285;0.0000;9873;48;1.6024;46;8;0;165;120;147;10;9754;44;1137;945
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;Si;;;414.7967;151.4786;107;16362.5295;10052;1506;1.4671;36;1;14;77;30;76;30;6252;973;82;177
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;No;152.872;0.798533;191.4407;79.7163;6174;1836.8856;87329;54937;5.5100;582;112;87;2496;3678;2756;3698;69053;48080;65252;203759
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;No;159.283;0.809371;196.7990;81.9888;6350;1837.7894;87185;55151;5.6522;609;114;93;2534;3816;2785;3834;68875;48229;65696;200438
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;--;;;0.0000;0.0000;292;0.0000;9835;49;1.6289;49;9;1;167;125;148;11;9715;46;1136;943
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;Si;;;427.5379;154.3100;109;16448.8865;10033;1586;1.5034;36;1;17;78;31;78;31;6246;1004;83;176
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;--;;;0.0000;0.0000;308;0.0000;9555;46;1.7414;57;12;1;178;130;156;9;9432;43;1168;951
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;Si;;;436.0321;191.1179;135;16856.6048;10195;1712;1.9244;40;1;19;99;36;106;36;6313;1066;84;173
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;No;166.619;0.821317;202.8674;85.2812;6605;1847.5893;87258;55837;5.8932;618;122;91;2611;3994;2904;4029;68883;48761;66788;201889
